User,Latitute ,Longitude,,User,Latitute ,Longitude,,User,Latitute ,Longitude
User-1,28.4888616,77.188232,,User-2,1.2949398,103.8699978,,User-3,28.5551342,77.0807975
,28.48877526,77.18792421,,,1.2967612,103.8666611,,,28.5549483,77.0946028
,28.4888625,77.1882552,,,1.2958842,103.8666494,,,28.5549483,77.0946029
,28.50419413,77.17296263,,,1.302982345,103.8762188,,,28.5428191,77.1182608
,28.43422836,77.05418753,,,1.2823984,103.8484151,,,28.5421155,77.1182659
,28.43429313,77.05681219,,,1.2837153,103.8466626,,,28.470743,77.0601103
,28.43432906,77.05681525,,,1.2961419,103.8668302,,,28.4688268,77.0577309
,28.4229781,77.0770173,,,1.2959643,103.8667537,,,28.4588534,77.0604963
,28.42336714,77.07742485,,,1.2961236,103.8668617,,,28.4588041,77.0604336
,28.4225024,77.0812499,,,1.296091827,103.8670695,,,,
,28.4010599,77.0452083,,,1.2959612,103.8666867,,,,
,28.4115599,77.0416149,,,1.2956741,103.8670006,,,,
,28.43533044,77.05918966,,,1.396942263,103.8750546,,,,
,28.42718809,77.06149397,,,1.397855401,103.8751602,,,,
,28.4235147,77.0638383,,,1.398579,103.8754339,,,,
,28.42357291,77.06377635,,,1.2961399,103.8668404,,,,
,28.4161318,77.0432406,,,1.2960566,103.8668266,,,,
,28.4160889,77.0432649,,,1.2963041,103.8670938,,,,
,28.4159463,77.0433599,,,1.2960887,103.8668692,,,,
,28.43635309,77.06019895,,,1.2961052,103.8668144,,,,
,28.43635739,77.06018832,,,1.2960977,103.8668436,,,,
,28.43617982,77.05907001,,,1.2960733,103.866801,,,,
,28.47906899,77.07572727,,,1.2960835,103.8668324,,,,
,28.4888575,77.1882457,,,1.2958658,103.8666521,,,,
,28.488858,77.1882519,,,1.2961371,103.8668651,,,,
,28.4888605,77.1882479,,,1.2958917,103.8667016,,,,
,28.4888465,77.1882571,,,1.2958364,103.8666178,,,,
,28.4888317,77.1883212,,,1.2959993,103.8670555,,,,
,28.48892908,77.18838767,,,1.2958253,103.866589,,,,
,28.46039026,77.05462208,,,1.2958877,103.866655,,,,
,28.4600688,77.051613,,,1.295914,103.8668619,,,,
,28.46003187,77.05139525,,,1.2958179,103.8665943,,,,
,28.4597527,77.0514033,,,1.2958458,103.8666626,,,,
,28.4600576,77.0513795,,,1.296515147,103.8670739,,,,
,28.4600851,77.0513875,,,1.2959681,103.8668473,,,,
,28.46044002,77.0542729,,,1.2959282,103.8668061,,,,
,28.48859689,77.18801622,,,1.2953821,103.8665658,,,,
,28.4888541,77.1882466,,,1.295325601,103.8665999,,,,
,28.4888577,77.188246,,,1.2905829,103.8645619,,,,
,28.4888646,77.1882449,,,1.304334762,103.8820214,,,,
,28.4888325,77.1882135,,,1.2958339,103.8666278,,,,
,28.4888246,77.1882076,,,1.2958234,103.866583,,,,
,,,,,1.2953707,103.866508,,,,
,,,,,1.295986709,103.8669435,,,,
,,,,,1.296054914,103.8669418,,,,
,,,,,1.2959112,103.8669132,,,,
,,,,,1.2957987,103.866618,,,,
,,,,,1.2961309,103.8668367,,,,
,,,,,1.2958554,103.8666466,,,,
,,,,,1.2960028,103.8668285,,,,
,,,,,1.2958764,103.8667222,,,,
,,,,,1.296189503,103.8668886,,,,
,,,,,1.2960154,103.8668067,,,,
,,,,,1.2958376,103.8666008,,,,
,,,,,1.2960548,103.8669159,,,,
,,,,,1.2959171,103.8668199,,,,
,,,,,1.295839,103.8666153,,,,
,,,,,1.295758965,103.8668446,,,,
,,,,,1.2959807,103.8667958,,,,
,,,,,1.296039071,103.8667789,,,,
,,,,,1.2958585,103.8667621,,,,
,,,,,1.2958131,103.8666957,,,,
,,,,,1.2961152,103.8668327,,,,
,,,,,1.2958196,103.8665982,,,,
,,,,,1.2958435,103.8666175,,,,
,,,,,1.2958048,103.8666336,,,,
,,,,,1.2959003,103.8668098,,,,
,,,,,1.2959547,103.8666406,,,,
,,,,,1.2958946,103.8666646,,,,
,,,,,1.2960708,103.86688,,,,
,,,,,1.2958872,103.8667733,,,,
,,,,,1.296064,103.8668335,,,,
,,,,,1.2958435,103.8666207,,,,
,,,,,1.295408,103.8665108,,,,
,,,,,1.2958135,103.8665833,,,,
,,,,,1.2961103,103.8668355,,,,
,,,,,1.2960974,103.8668563,,,,
,,,,,1.2958722,103.8668362,,,,
,,,,,1.2960743,103.8667544,,,,
,,,,,1.296054558,103.866787,,,,
,,,,,1.2958157,103.8666156,,,,
,,,,,1.296646365,103.8670208,,,,
,,,,,1.30330444,103.8729515,,,,
,,,,,1.3032191,103.8729193,,,,
,,,,,1.3032494,103.8729195,,,,
,,,,,1.2993962,103.8737948,,,,
,,,,,1.295634,103.8667908,,,,
,,,,,1.2958368,103.8666837,,,,
,,,,,1.2953559,103.8664448,,,,
,,,,,1.2953793,103.8665306,,,,
,,,,,1.2956237,103.8665493,,,,
,,,,,1.2958677,103.8666699,,,,
,,,,,1.2953051,103.8686965,,,,
,,,,,1.2960681,103.8668607,,,,
,,,,,1.2960887,103.8668851,,,,
,,,,,1.2960698,103.8668657,,,,
,,,,,1.2960272,103.866853,,,,
,,,,,1.2961268,103.8668503,,,,
,,,,,1.2958589,103.8667578,,,,
,,,,,1.2958457,103.8666213,,,,
,,,,,1.2958476,103.8666491,,,,
,,,,,1.2958534,103.8666088,,,,